off,def,dmg
1,1,175
1,2,150
1,3,131
1,4,116
1,5,105
1,6,95
1,7,87
1,8,80
1,9,75
1,10,70
1,11,65
1,12,61
1,13,58
1,14,55
1,15,52
2,1,183
2,2,157
2,3,137
2,4,122
2,5,110
2,6,100
2,7,91
2,8,84
2,9,78
2,10,73
2,11,68
2,12,64
2,13,61
2,14,57
2,15,55
3,1,191
3,2,164
3,3,143
3,4,127
3,5,115
3,6,104
3,7,95
3,8,88
3,9,82
3,10,76
3,11,71
3,12,67
3,13,63
3,14,60
3,15,57
4,1,200
4,2,171
4,3,150
4,4,133
4,5,120
4,6,109
4,7,100
4,8,92
4,9,85
4,10,80
4,11,75
4,12,70
4,13,66
4,14,63
4,15,60
5,1,208
5,2,178
5,3,156
5,4,138
5,5,125
5,6,113
5,7,104
5,8,96
5,9,89
5,10,83
5,11,78
5,12,73
5,13,69
5,14,65
5,15,62
6,1,216
6,2,185
6,3,162
6,4,144
6,5,130
6,6,118
6,7,108
6,8,100
6,9,92
6,10,86
6,11,81
6,12,76
6,13,72
6,14,68
6,15,65
7,1,224
7,2,192
7,3,168
7,4,150
7,5,135
7,6,122
7,7,112
7,8,103
7,9,96
7,10,90
7,11,84
7,12,79
7,13,75
7,14,71
7,15,67
8,1,233
8,2,200
8,3,175
8,4,155
8,5,140
8,6,127
8,7,116
8,8,107
8,9,100
8,10,93
8,11,87
8,12,82
8,13,77
8,14,73
8,15,70
9,1,241
9,2,207
9,3,181
9,4,161
9,5,145
9,6,131
9,7,120
9,8,111
9,9,103
9,10,96
9,11,90
9,12,85
9,13,80
9,14,76
9,15,72
10,1,249
10,2,214
10,3,187
10,4,166
10,5,150
10,6,136
10,7,124
10,8,115
10,9,107
10,10,100
10,11,93
10,12,88
10,13,83
10,14,78
10,15,75
11,1,258
11,2,221
11,3,193
11,4,172
11,5,155
11,6,140
11,7,129
11,8,119
11,9,110
11,10,103
11,11,96
11,12,91
11,13,86
11,14,81
11,15,77
12,1,266
12,2,228
12,3,200
12,4,177
12,5,160
12,6,145
12,7,133
12,8,123
12,9,114
12,10,106
12,11,100
12,12,94
12,13,88
12,14,84
12,15,80
13,1,275
13,2,235
13,3,206
13,4,183
13,5,165
13,6,150
13,7,137
13,8,126
13,9,117
13,10,110
13,11,103
13,12,97
13,13,91
13,14,86
13,15,82
14,1,283
14,2,242
14,3,212
14,4,188
14,5,170
14,6,154
14,7,141
14,8,130
14,9,121
14,10,113
14,11,106
14,12,100
14,13,94
14,14,89
14,15,85
15,1,291
15,2,250
15,3,218
15,4,194
15,5,175
15,6,159
15,7,145
15,8,134
15,9,125
15,10,116
15,11,109
15,12,102
15,13,97
15,14,92
15,15,87
