off,def,dmg
1,1,20
1,2,17
1,3,15
1,4,13
1,5,12
1,6,11
1,7,10
1,8,9
1,9,8
1,10,8
1,11,7
1,12,7
1,13,6
1,14,6
1,15,6
2,1,41
2,2,35
2,3,31
2,4,27
2,5,25
2,6,22
2,7,20
2,8,19
2,9,17
2,10,16
2,11,15
2,12,14
2,13,13
2,14,13
2,15,12
3,1,62
3,2,53
3,3,46
3,4,41
3,5,37
3,6,34
3,7,31
3,8,28
3,9,26
3,10,25
3,11,23
3,12,22
3,13,20
3,14,19
3,15,18
4,1,83
4,2,71
4,3,62
4,4,55
4,5,50
4,6,45
4,7,41
4,8,38
4,9,35
4,10,33
4,11,31
4,12,29
4,13,27
4,14,26
4,15,25
5,1,104
5,2,89
5,3,78
5,4,69
5,5,62
5,6,56
5,7,52
5,8,48
5,9,44
5,10,41
5,11,39
5,12,36
5,13,34
5,14,32
5,15,31
6,1,124
6,2,107
6,3,93
6,4,83
6,5,75
6,6,68
6,7,62
6,8,57
6,9,53
6,10,50
6,11,46
6,12,44
6,13,41
6,14,39
6,15,37
7,1,145
7,2,125
7,3,109
7,4,97
7,5,87
7,6,79
7,7,72
7,8,67
7,9,62
7,10,58
7,11,54
7,12,51
7,13,48
7,14,46
7,15,43
8,1,166
8,2,142
8,3,125
8,4,111
8,5,100
8,6,90
8,7,83
8,8,76
8,9,71
8,10,66
8,11,62
8,12,58
8,13,55
8,14,52
8,15,50
9,1,187
9,2,160
9,3,140
9,4,124
9,5,112
9,6,102
9,7,93
9,8,86
9,9,80
9,10,75
9,11,70
9,12,66
9,13,62
9,14,59
9,15,56
10,1,208
10,2,178
10,3,156
10,4,138
10,5,125
10,6,113
10,7,104
10,8,96
10,9,89
10,10,83
10,11,78
10,12,73
10,13,69
10,14,65
10,15,62
11,1,229
11,2,196
11,3,171
11,4,152
11,5,137
11,6,125
11,7,114
11,8,105
11,9,98
11,10,91
11,11,85
11,12,80
11,13,76
11,14,72
11,15,68
12,1,249
12,2,214
12,3,187
12,4,166
12,5,150
12,6,136
12,7,124
12,8,115
12,9,107
12,10,100
12,11,93
12,12,88
12,13,83
12,14,78
12,15,75
13,1,270
13,2,232
13,3,203
13,4,180
13,5,162
13,6,147
13,7,135
13,8,125
13,9,116
13,10,108
13,11,101
13,12,95
13,13,90
13,14,85
13,15,81
14,1,291
14,2,250
14,3,218
14,4,194
14,5,175
14,6,159
14,7,145
14,8,134
14,9,125
14,10,116
14,11,109
14,12,102
14,13,97
14,14,92
14,15,87
15,1,312
15,2,267
15,3,234
15,4,208
15,5,187
15,6,170
15,7,156
15,8,144
15,9,133
15,10,125
15,11,117
15,12,110
15,13,104
15,14,98
15,15,93
