off,def,dmg
1,1,8
1,2,7
1,3,6
1,4,5
1,5,5
1,6,4
1,7,4
1,8,3
1,9,3
1,10,3
1,11,3
1,12,2
1,13,2
1,14,2
1,15,2
2,1,16
2,2,14
2,3,12
2,4,11
2,5,10
2,6,9
2,7,8
2,8,7
2,9,7
2,10,6
2,11,6
2,12,5
2,13,5
2,14,5
2,15,5
3,1,25
3,2,21
3,3,18
3,4,16
3,5,15
3,6,13
3,7,12
3,8,11
3,9,10
3,10,10
3,11,9
3,12,8
3,13,8
3,14,7
3,15,7
4,1,33
4,2,28
4,3,25
4,4,22
4,5,20
4,6,18
4,7,16
4,8,15
4,9,14
4,10,13
4,11,12
4,12,11
4,13,11
4,14,10
4,15,10
5,1,41
5,2,35
5,3,31
5,4,27
5,5,25
5,6,22
5,7,20
5,8,19
5,9,17
5,10,16
5,11,15
5,12,14
5,13,13
5,14,13
5,15,12
6,1,50
6,2,42
6,3,37
6,4,33
6,5,30
6,6,27
6,7,25
6,8,23
6,9,21
6,10,20
6,11,18
6,12,17
6,13,16
6,14,15
6,15,15
7,1,58
7,2,50
7,3,43
7,4,38
7,5,35
7,6,31
7,7,29
7,8,26
7,9,25
7,10,23
7,11,21
7,12,20
7,13,19
7,14,18
7,15,17
8,1,66
8,2,57
8,3,50
8,4,44
8,5,40
8,6,36
8,7,33
8,8,30
8,9,28
8,10,26
8,11,25
8,12,23
8,13,22
8,14,21
8,15,20
9,1,75
9,2,64
9,3,56
9,4,50
9,5,45
9,6,40
9,7,37
9,8,34
9,9,32
9,10,30
9,11,28
9,12,26
9,13,25
9,14,23
9,15,22
10,1,83
10,2,71
10,3,62
10,4,55
10,5,50
10,6,45
10,7,41
10,8,38
10,9,35
10,10,33
10,11,31
10,12,29
10,13,27
10,14,26
10,15,25
11,1,91
11,2,78
11,3,68
11,4,61
11,5,55
11,6,50
11,7,45
11,8,42
11,9,39
11,10,36
11,11,34
11,12,32
11,13,30
11,14,28
11,15,27
12,1,100
12,2,85
12,3,75
12,4,66
12,5,60
12,6,54
12,7,50
12,8,46
12,9,42
12,10,40
12,11,37
12,12,35
12,13,33
12,14,31
12,15,30
13,1,108
13,2,92
13,3,81
13,4,72
13,5,65
13,6,59
13,7,54
13,8,50
13,9,46
13,10,43
13,11,40
13,12,38
13,13,36
13,14,34
13,15,32
14,1,116
14,2,100
14,3,87
14,4,77
14,5,70
14,6,63
14,7,58
14,8,53
14,9,50
14,10,46
14,11,43
14,12,41
14,13,38
14,14,36
14,15,35
15,1,124
15,2,107
15,3,93
15,4,83
15,5,75
15,6,68
15,7,62
15,8,57
15,9,53
15,10,50
15,11,46
15,12,44
15,13,41
15,14,39
15,15,37
