off,def,dmg
1,1,6
1,2,5
1,3,5
1,4,4
1,5,4
1,6,3
1,7,3
1,8,3
1,9,2
1,10,2
1,11,2
1,12,2
1,13,2
1,14,2
1,15,2
2,1,13
2,2,11
2,3,10
2,4,8
2,5,8
2,6,7
2,7,6
2,8,6
2,9,5
2,10,5
2,11,5
2,12,4
2,13,4
2,14,4
2,15,4
3,1,20
3,2,17
3,3,15
3,4,13
3,5,12
3,6,10
3,7,10
3,8,9
3,9,8
3,10,8
3,11,7
3,12,7
3,13,6
3,14,6
3,15,6
4,1,26
4,2,22
4,3,20
4,4,17
4,5,16
4,6,14
4,7,13
4,8,12
4,9,11
4,10,10
4,11,10
4,12,9
4,13,8
4,14,8
4,15,8
5,1,33
5,2,28
5,3,25
5,4,22
5,5,20
5,6,18
5,7,16
5,8,15
5,9,14
5,10,13
5,11,12
5,12,11
5,13,11
5,14,10
5,15,10
6,1,40
6,2,34
6,3,30
6,4,26
6,5,24
6,6,21
6,7,20
6,8,18
6,9,17
6,10,16
6,11,15
6,12,14
6,13,13
6,14,12
6,15,12
7,1,46
7,2,40
7,3,35
7,4,31
7,5,28
7,6,25
7,7,23
7,8,21
7,9,20
7,10,18
7,11,17
7,12,16
7,13,15
7,14,14
7,15,14
8,1,53
8,2,45
8,3,40
8,4,35
8,5,32
8,6,29
8,7,26
8,8,24
8,9,22
8,10,21
8,11,20
8,12,18
8,13,17
8,14,16
8,15,16
9,1,60
9,2,51
9,3,45
9,4,40
9,5,36
9,6,32
9,7,30
9,8,27
9,9,25
9,10,24
9,11,22
9,12,21
9,13,20
9,14,18
9,15,18
10,1,66
10,2,57
10,3,50
10,4,44
10,5,40
10,6,36
10,7,33
10,8,30
10,9,28
10,10,26
10,11,25
10,12,23
10,13,22
10,14,21
10,15,20
11,1,73
11,2,62
11,3,55
11,4,48
11,5,44
11,6,40
11,7,36
11,8,33
11,9,31
11,10,29
11,11,27
11,12,25
11,13,24
11,14,23
11,15,22
12,1,80
12,2,68
12,3,60
12,4,53
12,5,48
12,6,43
12,7,40
12,8,36
12,9,34
12,10,32
12,11,30
12,12,28
12,13,26
12,14,25
12,15,24
13,1,86
13,2,74
13,3,65
13,4,57
13,5,52
13,6,47
13,7,43
13,8,40
13,9,37
13,10,34
13,11,32
13,12,30
13,13,28
13,14,27
13,15,26
14,1,93
14,2,80
14,3,70
14,4,62
14,5,56
14,6,50
14,7,46
14,8,43
14,9,40
14,10,37
14,11,35
14,12,32
14,13,31
14,14,29
14,15,28
15,1,100
15,2,85
15,3,75
15,4,66
15,5,60
15,6,54
15,7,50
15,8,46
15,9,42
15,10,40
15,11,37
15,12,35
15,13,33
15,14,31
15,15,30
