off,def,dmg
1,1,5
1,2,5
1,3,4
1,4,3
1,5,3
1,6,3
1,7,2
1,8,2
1,9,2
1,10,2
1,11,2
1,12,2
1,13,1
1,14,1
1,15,1
2,1,11
2,2,10
2,3,8
2,4,7
2,5,7
2,6,6
2,7,5
2,8,5
2,9,5
2,10,4
2,11,4
2,12,4
2,13,3
2,14,3
2,15,3
3,1,17
3,2,14
3,3,13
3,4,11
3,5,10
3,6,9
3,7,8
3,8,8
3,9,7
3,10,6
3,11,6
3,12,6
3,13,5
3,14,5
3,15,5
4,1,23
4,2,20
4,3,17
4,4,15
4,5,14
4,6,12
4,7,11
4,8,10
4,9,10
4,10,9
4,11,8
4,12,8
4,13,7
4,14,7
4,15,7
5,1,29
5,2,25
5,3,21
5,4,19
5,5,17
5,6,15
5,7,14
5,8,13
5,9,12
5,10,11
5,11,10
5,12,10
5,13,9
5,14,9
5,15,8
6,1,34
6,2,29
6,3,26
6,4,23
6,5,21
6,6,19
6,7,17
6,8,16
6,9,14
6,10,13
6,11,13
6,12,12
6,13,11
6,14,11
6,15,10
7,1,40
7,2,35
7,3,30
7,4,27
7,5,24
7,6,22
7,7,20
7,8,18
7,9,17
7,10,16
7,11,15
7,12,14
7,13,13
7,14,12
7,15,12
8,1,46
8,2,40
8,3,35
8,4,31
8,5,28
8,6,25
8,7,23
8,8,21
8,9,20
8,10,18
8,11,17
8,12,16
8,13,15
8,14,14
8,15,14
9,1,52
9,2,44
9,3,39
9,4,34
9,5,31
9,6,28
9,7,26
9,8,24
9,9,22
9,10,20
9,11,19
9,12,18
9,13,17
9,14,16
9,15,15
10,1,58
10,2,50
10,3,43
10,4,38
10,5,35
10,6,31
10,7,29
10,8,26
10,9,25
10,10,23
10,11,21
10,12,20
10,13,19
10,14,18
10,15,17
11,1,64
11,2,55
11,3,48
11,4,42
11,5,38
11,6,35
11,7,32
11,8,29
11,9,27
11,10,25
11,11,24
11,12,22
11,13,21
11,14,20
11,15,19
12,1,69
12,2,59
12,3,52
12,4,46
12,5,42
12,6,38
12,7,34
12,8,32
12,9,29
12,10,27
12,11,26
12,12,24
12,13,23
12,14,22
12,15,21
13,1,75
13,2,64
13,3,56
13,4,50
13,5,45
13,6,41
13,7,37
13,8,34
13,9,32
13,10,30
13,11,28
13,12,26
13,13,25
13,14,23
13,15,22
14,1,81
14,2,70
14,3,61
14,4,54
14,5,49
14,6,44
14,7,40
14,8,37
14,9,35
14,10,32
14,11,30
14,12,28
14,13,27
14,14,25
14,15,24
15,1,87
15,2,75
15,3,65
15,4,58
15,5,52
15,6,47
15,7,43
15,8,40
15,9,37
15,10,35
15,11,32
15,12,30
15,13,29
15,14,27
15,15,26
