off,def,dmg
1,1,12
1,2,10
1,3,9
1,4,8
1,5,7
1,6,6
1,7,6
1,8,5
1,9,5
1,10,5
1,11,4
1,12,4
1,13,4
1,14,3
1,15,3
2,1,25
2,2,21
2,3,18
2,4,16
2,5,15
2,6,13
2,7,12
2,8,11
2,9,10
2,10,10
2,11,9
2,12,8
2,13,8
2,14,7
2,15,7
3,1,37
3,2,32
3,3,28
3,4,25
3,5,22
3,6,20
3,7,18
3,8,17
3,9,16
3,10,15
3,11,14
3,12,13
3,13,12
3,14,11
3,15,11
4,1,50
4,2,42
4,3,37
4,4,33
4,5,30
4,6,27
4,7,25
4,8,23
4,9,21
4,10,20
4,11,18
4,12,17
4,13,16
4,14,15
4,15,15
5,1,62
5,2,53
5,3,46
5,4,41
5,5,37
5,6,34
5,7,31
5,8,28
5,9,26
5,10,25
5,11,23
5,12,22
5,13,20
5,14,19
5,15,18
6,1,75
6,2,64
6,3,56
6,4,50
6,5,45
6,6,40
6,7,37
6,8,34
6,9,32
6,10,30
6,11,28
6,12,26
6,13,25
6,14,23
6,15,22
7,1,87
7,2,75
7,3,65
7,4,58
7,5,52
7,6,47
7,7,43
7,8,40
7,9,37
7,10,35
7,11,32
7,12,30
7,13,29
7,14,27
7,15,26
8,1,100
8,2,85
8,3,75
8,4,66
8,5,60
8,6,54
8,7,50
8,8,46
8,9,42
8,10,40
8,11,37
8,12,35
8,13,33
8,14,31
8,15,30
9,1,112
9,2,96
9,3,84
9,4,75
9,5,67
9,6,61
9,7,56
9,8,51
9,9,48
9,10,45
9,11,42
9,12,39
9,13,37
9,14,35
9,15,33
10,1,124
10,2,107
10,3,93
10,4,83
10,5,75
10,6,68
10,7,62
10,8,57
10,9,53
10,10,50
10,11,46
10,12,44
10,13,41
10,14,39
10,15,37
11,1,137
11,2,117
11,3,103
11,4,91
11,5,82
11,6,75
11,7,68
11,8,63
11,9,58
11,10,55
11,11,51
11,12,48
11,13,45
11,14,43
11,15,41
12,1,150
12,2,128
12,3,112
12,4,100
12,5,90
12,6,81
12,7,75
12,8,69
12,9,64
12,10,60
12,11,56
12,12,52
12,13,50
12,14,47
12,15,45
13,1,162
13,2,139
13,3,121
13,4,108
13,5,97
13,6,88
13,7,81
13,8,75
13,9,69
13,10,65
13,11,60
13,12,57
13,13,54
13,14,51
13,15,48
14,1,175
14,2,150
14,3,131
14,4,116
14,5,105
14,6,95
14,7,87
14,8,80
14,9,75
14,10,70
14,11,65
14,12,61
14,13,58
14,14,55
14,15,52
15,1,187
15,2,160
15,3,140
15,4,124
15,5,112
15,6,102
15,7,93
15,8,86
15,9,80
15,10,75
15,11,70
15,12,66
15,13,62
15,14,59
15,15,56
