off,def,dmg
1,1,43
1,2,37
1,3,32
1,4,28
1,5,26
1,6,23
1,7,21
1,8,19
1,9,18
1,10,17
1,11,16
1,12,15
1,13,14
1,14,13
1,15,13
2,1,45
2,2,38
2,3,33
2,4,30
2,5,27
2,6,24
2,7,22
2,8,20
2,9,19
2,10,18
2,11,16
2,12,15
2,13,15
2,14,14
2,15,13
3,1,46
3,2,40
3,3,35
3,4,31
3,5,28
3,6,25
3,7,23
3,8,21
3,9,20
3,10,18
3,11,17
3,12,16
3,13,15
3,14,14
3,15,14
4,1,48
4,2,41
4,3,36
4,4,32
4,5,29
4,6,26
4,7,24
4,8,22
4,9,20
4,10,19
4,11,18
4,12,17
4,13,16
4,14,15
4,15,14
5,1,50
5,2,42
5,3,37
5,4,33
5,5,30
5,6,27
5,7,25
5,8,23
5,9,21
5,10,20
5,11,18
5,12,17
5,13,16
5,14,15
5,15,15
6,1,51
6,2,44
6,3,38
6,4,34
6,5,31
6,6,28
6,7,25
6,8,23
6,9,22
6,10,20
6,11,19
6,12,18
6,13,17
6,14,16
6,15,15
7,1,53
7,2,45
7,3,40
7,4,35
7,5,32
7,6,29
7,7,26
7,8,24
7,9,22
7,10,21
7,11,20
7,12,18
7,13,17
7,14,16
7,15,16
8,1,54
8,2,47
8,3,41
8,4,36
8,5,33
8,6,30
8,7,27
8,8,25
8,9,23
8,10,22
8,11,20
8,12,19
8,13,18
8,14,17
8,15,16
9,1,56
9,2,48
9,3,42
9,4,37
9,5,34
9,6,30
9,7,28
9,8,26
9,9,24
9,10,22
9,11,21
9,12,20
9,13,18
9,14,17
9,15,17
10,1,58
10,2,50
10,3,43
10,4,38
10,5,35
10,6,31
10,7,29
10,8,26
10,9,25
10,10,23
10,11,21
10,12,20
10,13,19
10,14,18
10,15,17
11,1,59
11,2,51
11,3,45
11,4,39
11,5,36
11,6,32
11,7,29
11,8,27
11,9,25
11,10,23
11,11,22
11,12,21
11,13,19
11,14,18
11,15,18
12,1,61
12,2,52
12,3,46
12,4,41
12,5,37
12,6,33
12,7,30
12,8,28
12,9,26
12,10,24
12,11,23
12,12,21
12,13,20
12,14,19
12,15,18
13,1,63
13,2,54
13,3,47
13,4,42
13,5,38
13,6,34
13,7,31
13,8,29
13,9,27
13,10,25
13,11,23
13,12,22
13,13,21
13,14,20
13,15,19
14,1,65
14,2,55
14,3,48
14,4,43
14,5,39
14,6,35
14,7,32
14,8,30
14,9,27
14,10,26
14,11,24
14,12,22
14,13,21
14,14,20
14,15,19
15,1,66
15,2,57
15,3,50
15,4,44
15,5,40
15,6,36
15,7,33
15,8,30
15,9,28
15,10,26
15,11,25
15,12,23
15,13,22
15,14,21
15,15,20
