off,def,dmg
1,1,45
1,2,39
1,3,34
1,4,30
1,5,27
1,6,25
1,7,22
1,8,21
1,9,19
1,10,18
1,11,17
1,12,16
1,13,15
1,14,14
1,15,13
2,1,50
2,2,42
2,3,37
2,4,33
2,5,30
2,6,27
2,7,25
2,8,23
2,9,21
2,10,20
2,11,18
2,12,17
2,13,16
2,14,15
2,15,15
3,1,54
3,2,46
3,3,40
3,4,36
3,5,32
3,6,29
3,7,27
3,8,25
3,9,23
3,10,21
3,11,20
3,12,19
3,13,18
3,14,17
3,15,16
4,1,58
4,2,50
4,3,43
4,4,38
4,5,35
4,6,31
4,7,29
4,8,26
4,9,25
4,10,23
4,11,21
4,12,20
4,13,19
4,14,18
4,15,17
5,1,62
5,2,53
5,3,46
5,4,41
5,5,37
5,6,34
5,7,31
5,8,28
5,9,26
5,10,25
5,11,23
5,12,22
5,13,20
5,14,19
5,15,18
6,1,66
6,2,57
6,3,50
6,4,44
6,5,40
6,6,36
6,7,33
6,8,30
6,9,28
6,10,26
6,11,25
6,12,23
6,13,22
6,14,21
6,15,20
7,1,70
7,2,60
7,3,53
7,4,47
7,5,42
7,6,38
7,7,35
7,8,32
7,9,30
7,10,28
7,11,26
7,12,25
7,13,23
7,14,22
7,15,21
8,1,75
8,2,64
8,3,56
8,4,50
8,5,45
8,6,40
8,7,37
8,8,34
8,9,32
8,10,30
8,11,28
8,12,26
8,13,25
8,14,23
8,15,22
9,1,79
9,2,67
9,3,59
9,4,52
9,5,47
9,6,43
9,7,39
9,8,36
9,9,33
9,10,31
9,11,29
9,12,27
9,13,26
9,14,25
9,15,23
10,1,83
10,2,71
10,3,62
10,4,55
10,5,50
10,6,45
10,7,41
10,8,38
10,9,35
10,10,33
10,11,31
10,12,29
10,13,27
10,14,26
10,15,25
11,1,87
11,2,75
11,3,65
11,4,58
11,5,52
11,6,47
11,7,43
11,8,40
11,9,37
11,10,35
11,11,32
11,12,30
11,13,29
11,14,27
11,15,26
12,1,91
12,2,78
12,3,68
12,4,61
12,5,55
12,6,50
12,7,45
12,8,42
12,9,39
12,10,36
12,11,34
12,12,32
12,13,30
12,14,28
12,15,27
13,1,95
13,2,82
13,3,71
13,4,63
13,5,57
13,6,52
13,7,47
13,8,44
13,9,41
13,10,38
13,11,35
13,12,33
13,13,31
13,14,30
13,15,28
14,1,100
14,2,85
14,3,75
14,4,66
14,5,60
14,6,54
14,7,50
14,8,46
14,9,42
14,10,40
14,11,37
14,12,35
14,13,33
14,14,31
14,15,30
15,1,104
15,2,89
15,3,78
15,4,69
15,5,62
15,6,56
15,7,52
15,8,48
15,9,44
15,10,41
15,11,39
15,12,36
15,13,34
15,14,32
15,15,31
