off,def,dmg
1,1,5
1,2,4
1,3,3
1,4,3
1,5,3
1,6,2
1,7,2
1,8,2
1,9,2
1,10,2
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
2,1,10
2,2,8
2,3,7
2,4,6
2,5,6
2,6,5
2,7,5
2,8,4
2,9,4
2,10,4
2,11,3
2,12,3
2,13,3
2,14,3
2,15,3
3,1,15
3,2,12
3,3,11
3,4,10
3,5,9
3,6,8
3,7,7
3,8,6
3,9,6
3,10,6
3,11,5
3,12,5
3,13,5
3,14,4
3,15,4
4,1,20
4,2,17
4,3,15
4,4,13
4,5,12
4,6,10
4,7,10
4,8,9
4,9,8
4,10,8
4,11,7
4,12,7
4,13,6
4,14,6
4,15,6
5,1,25
5,2,21
5,3,18
5,4,16
5,5,15
5,6,13
5,7,12
5,8,11
5,9,10
5,10,10
5,11,9
5,12,8
5,13,8
5,14,7
5,15,7
6,1,30
6,2,25
6,3,22
6,4,20
6,5,18
6,6,16
6,7,15
6,8,13
6,9,12
6,10,12
6,11,11
6,12,10
6,13,10
6,14,9
6,15,9
7,1,35
7,2,30
7,3,26
7,4,23
7,5,21
7,6,19
7,7,17
7,8,16
7,9,15
7,10,14
7,11,13
7,12,12
7,13,11
7,14,11
7,15,10
8,1,40
8,2,34
8,3,30
8,4,26
8,5,24
8,6,21
8,7,20
8,8,18
8,9,17
8,10,16
8,11,15
8,12,14
8,13,13
8,14,12
8,15,12
9,1,45
9,2,38
9,3,33
9,4,30
9,5,27
9,6,24
9,7,22
9,8,20
9,9,19
9,10,18
9,11,16
9,12,15
9,13,15
9,14,14
9,15,13
10,1,50
10,2,42
10,3,37
10,4,33
10,5,30
10,6,27
10,7,25
10,8,23
10,9,21
10,10,20
10,11,18
10,12,17
10,13,16
10,14,15
10,15,15
11,1,55
11,2,47
11,3,41
11,4,36
11,5,33
11,6,30
11,7,27
11,8,25
11,9,23
11,10,22
11,11,20
11,12,19
11,13,18
11,14,17
11,15,16
12,1,60
12,2,51
12,3,45
12,4,40
12,5,36
12,6,32
12,7,30
12,8,27
12,9,25
12,10,24
12,11,22
12,12,21
12,13,20
12,14,18
12,15,18
13,1,65
13,2,55
13,3,48
13,4,43
13,5,39
13,6,35
13,7,32
13,8,30
13,9,27
13,10,26
13,11,24
13,12,22
13,13,21
13,14,20
13,15,19
14,1,70
14,2,60
14,3,52
14,4,46
14,5,42
14,6,38
14,7,35
14,8,32
14,9,30
14,10,28
14,11,26
14,12,24
14,13,23
14,14,22
14,15,21
15,1,75
15,2,64
15,3,56
15,4,50
15,5,45
15,6,40
15,7,37
15,8,34
15,9,32
15,10,30
15,11,28
15,12,26
15,13,25
15,14,23
15,15,22
