off,def,dmg
1,1,4
1,2,3
1,3,3
1,4,2
1,5,2
1,6,2
1,7,2
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
2,1,8
2,2,7
2,3,6
2,4,5
2,5,5
2,6,4
2,7,4
2,8,3
2,9,3
2,10,3
2,11,3
2,12,2
2,13,2
2,14,2
2,15,2
3,1,12
3,2,10
3,3,9
3,4,8
3,5,7
3,6,6
3,7,6
3,8,5
3,9,5
3,10,5
3,11,4
3,12,4
3,13,4
3,14,3
3,15,3
4,1,16
4,2,14
4,3,12
4,4,11
4,5,10
4,6,9
4,7,8
4,8,7
4,9,7
4,10,6
4,11,6
4,12,5
4,13,5
4,14,5
4,15,5
5,1,20
5,2,17
5,3,15
5,4,13
5,5,12
5,6,11
5,7,10
5,8,9
5,9,8
5,10,8
5,11,7
5,12,7
5,13,6
5,14,6
5,15,6
6,1,25
6,2,21
6,3,18
6,4,16
6,5,15
6,6,13
6,7,12
6,8,11
6,9,10
6,10,10
6,11,9
6,12,8
6,13,8
6,14,7
6,15,7
7,1,29
7,2,25
7,3,21
7,4,19
7,5,17
7,6,15
7,7,14
7,8,13
7,9,12
7,10,11
7,11,10
7,12,10
7,13,9
7,14,9
7,15,8
8,1,33
8,2,28
8,3,25
8,4,22
8,5,20
8,6,18
8,7,16
8,8,15
8,9,14
8,10,13
8,11,12
8,12,11
8,13,11
8,14,10
8,15,10
9,1,37
9,2,32
9,3,28
9,4,25
9,5,22
9,6,20
9,7,18
9,8,17
9,9,16
9,10,15
9,11,14
9,12,13
9,13,12
9,14,11
9,15,11
10,1,41
10,2,35
10,3,31
10,4,27
10,5,25
10,6,22
10,7,20
10,8,19
10,9,17
10,10,16
10,11,15
10,12,14
10,13,13
10,14,13
10,15,12
11,1,45
11,2,39
11,3,34
11,4,30
11,5,27
11,6,25
11,7,22
11,8,21
11,9,19
11,10,18
11,11,17
11,12,16
11,13,15
11,14,14
11,15,13
12,1,50
12,2,42
12,3,37
12,4,33
12,5,30
12,6,27
12,7,25
12,8,23
12,9,21
12,10,20
12,11,18
12,12,17
12,13,16
12,14,15
12,15,15
13,1,54
13,2,46
13,3,40
13,4,36
13,5,32
13,6,29
13,7,27
13,8,25
13,9,23
13,10,21
13,11,20
13,12,19
13,13,18
13,14,17
13,15,16
14,1,58
14,2,50
14,3,43
14,4,38
14,5,35
14,6,31
14,7,29
14,8,26
14,9,25
14,10,23
14,11,21
14,12,20
14,13,19
14,14,18
14,15,17
15,1,62
15,2,53
15,3,46
15,4,41
15,5,37
15,6,34
15,7,31
15,8,28
15,9,26
15,10,25
15,11,23
15,12,22
15,13,20
15,14,19
15,15,18
