off,def,dmg
1,1,16
1,2,14
1,3,12
1,4,11
1,5,10
1,6,9
1,7,8
1,8,7
1,9,7
1,10,6
1,11,6
1,12,5
1,13,5
1,14,5
1,15,5
2,1,33
2,2,28
2,3,25
2,4,22
2,5,20
2,6,18
2,7,16
2,8,15
2,9,14
2,10,13
2,11,12
2,12,11
2,13,11
2,14,10
2,15,10
3,1,50
3,2,42
3,3,37
3,4,33
3,5,30
3,6,27
3,7,25
3,8,23
3,9,21
3,10,20
3,11,18
3,12,17
3,13,16
3,14,15
3,15,15
4,1,66
4,2,57
4,3,50
4,4,44
4,5,40
4,6,36
4,7,33
4,8,30
4,9,28
4,10,26
4,11,25
4,12,23
4,13,22
4,14,21
4,15,20
5,1,83
5,2,71
5,3,62
5,4,55
5,5,50
5,6,45
5,7,41
5,8,38
5,9,35
5,10,33
5,11,31
5,12,29
5,13,27
5,14,26
5,15,25
6,1,100
6,2,85
6,3,75
6,4,66
6,5,60
6,6,54
6,7,50
6,8,46
6,9,42
6,10,40
6,11,37
6,12,35
6,13,33
6,14,31
6,15,30
7,1,116
7,2,100
7,3,87
7,4,77
7,5,70
7,6,63
7,7,58
7,8,53
7,9,50
7,10,46
7,11,43
7,12,41
7,13,38
7,14,36
7,15,35
8,1,133
8,2,114
8,3,100
8,4,88
8,5,80
8,6,72
8,7,66
8,8,61
8,9,57
8,10,53
8,11,50
8,12,47
8,13,44
8,14,42
8,15,40
9,1,150
9,2,128
9,3,112
9,4,100
9,5,90
9,6,81
9,7,75
9,8,69
9,9,64
9,10,60
9,11,56
9,12,52
9,13,50
9,14,47
9,15,45
10,1,166
10,2,142
10,3,125
10,4,111
10,5,100
10,6,90
10,7,83
10,8,76
10,9,71
10,10,66
10,11,62
10,12,58
10,13,55
10,14,52
10,15,50
11,1,183
11,2,157
11,3,137
11,4,122
11,5,110
11,6,100
11,7,91
11,8,84
11,9,78
11,10,73
11,11,68
11,12,64
11,13,61
11,14,57
11,15,55
12,1,200
12,2,171
12,3,150
12,4,133
12,5,120
12,6,109
12,7,100
12,8,92
12,9,85
12,10,80
12,11,75
12,12,70
12,13,66
12,14,63
12,15,60
13,1,216
13,2,185
13,3,162
13,4,144
13,5,130
13,6,118
13,7,108
13,8,100
13,9,92
13,10,86
13,11,81
13,12,76
13,13,72
13,14,68
13,15,65
14,1,233
14,2,200
14,3,175
14,4,155
14,5,140
14,6,127
14,7,116
14,8,107
14,9,100
14,10,93
14,11,87
14,12,82
14,13,77
14,14,73
14,15,70
15,1,249
15,2,214
15,3,187
15,4,166
15,5,150
15,6,136
15,7,124
15,8,115
15,9,107
15,10,100
15,11,93
15,12,88
15,13,83
15,14,78
15,15,75
